id;nombre;marca;precio;descrip;imagen1;imagen2;imagen3;imagen4;;;;
1;Kit Arrastre;TVS;25.000;Kit de arrastre de alta calidad, ideal para mantener el rendimiento y la seguridad de tu moto. Incluye piñon, catalina y cadena fabricados con materiales resistentes al desgaste, garantizando una transmision suave y duradera. Perfecto para quienes buscan confiabilidad y un excelente desempeño en cada recorrido.;../Resources/kit Arrastre 1.png;../Resources/kit Arrastre 2.png;../Resources/kit Arrastre 3.png;../Resources/kit Arrastre 4.png;;;;
2;Filtro de Aire KTM DUKE 200;KTM ;55.000;Filtro de aire de alto rendimiento para KTM Duke 200, diseñado para optimizar la entrada de aire y mejorar la eficiencia del motor. Fabricado con materiales de alta calidad que garantizan una filtracion efectiva y una mayor durabilidad. Ideal para mantener tu moto en optimas condiciones, asegurando un funcionamiento mas limpio y potente en cada trayecto. Perfecto para quienes buscan un mantenimiento confiable y un mejor desempeño en la carretera.;../Resources/Filtro aire 1.png;../Resources/Filtro aire 2.png;../Resources/Filtro aire 3.png;../Resources/Filtro aire 1.png;;;;
3;Espejos Aleron Naked Universal;Naked;60.000;Espejos aleron naked universales, diseñados para mejorar la estetica y funcionalidad de tu motocicleta. Fabricados con materiales resistentes y livianos, ofrecen una instalacion sencilla y un ajuste versatil que se adapta a la mayoria de los modelos naked. Ideales para quienes buscan un diseño moderno, mayor visibilidad y seguridad en cada viaje. Perfectos para darle un toque deportivo y personalizado a tu moto;../Resources/Espejos Aleron 1.png;../Resources/Espejos Aleron 2.png;../Resources/Espejos Aleron 3.png;../Resources/Espejos Aleron 1.png;;;;
4;Lubricante de Cadena Motul C5;Motul;90.000;El Motul C5 es un lubricante de alta calidad en formato de pasta, especialmente diseñado para el mantenimiento de cadenas de motocicletas y karts. Su formulacion avanzada garantiza una proteccion superior y una lubricacion eficiente, incluso en condiciones extremas.;../Resources/Lubricante 1.png;../Resources/Lubricante 2.png;../Resources/Lubricante 3.png;../Resources/Lubricante 4.png;;;;
5;Aceite 15w50 4t;Motul;25.000;El Aceite Motul 15W50 4T está diseñado para brindar una protección excepcional y un rendimiento óptimo en motores de 4 tiempos. Su formulación avanzada garantiza una lubricación eficiente, reduciendo el desgaste y prolongando la vida útil del motor. Ideal para motocicletas de alto rendimiento y condiciones exigentes, este aceite asegura un funcionamiento suave y confiable en cada recorrido;../Resources/AceiteMoto.png;../Resources/AceiteMoto.png;../Resources/AceiteMoto.png;../Resources/AceiteMoto.png;;;;
6;Kit Arrastre;TVS;25.000;Kit de arrastre de alta calidad, ideal para mantener el rendimiento y la seguridad de tu moto. Incluye piñon, catalina y cadena fabricados con materiales resistentes al desgaste, garantizando una transmision suave y duradera. Perfecto para quienes buscan confiabilidad y un excelente desempeño en cada recorrido.;../Resources/kit Arrastre 1.png;../Resources/kit Arrastre 2.png;../Resources/kit Arrastre 3.png;../Resources/kit Arrastre 4.png;;;;
7;Llanta 150/60r17 Tvs Eurogrip;TVS;232.000;La Llanta 150/60 ZR17 TVS Eurogrip Protorq Extreme HR es una opción ideal para motociclistas que buscan rendimiento, seguridad y durabilidad en cada trayecto. Diseñada con tecnología avanzada y materiales de alta calidad, esta llanta ofrece un equilibrio perfecto entre agarre y resistencia, adaptándose a diversas condiciones de conducción;../Resources/LlantaMoto.png;../Resources/LlantaMoto.png;../Resources/LlantaMoto.png;../Resources/LlantaMoto.png;;;;
8;Lubricante de Cadena Motul C5;Motul;90.000;El Motul C5 es un lubricante de alta calidad en formato de pasta, especialmente diseñado para el mantenimiento de cadenas de motocicletas y karts. Su formulación avanzada garantiza una protección superior y una lubricación eficiente, incluso en condiciones extremas.;../Resources/Lubricante 1.png;../Resources/Lubricante 2.png;../Resources/Lubricante 3.png;../Resources/Lubricante 4.png;;;;
9;Filtro de Aire KTM DUKE 200;KTM ;55.000;Filtro de aire de alto rendimiento para KTM Duke 200, diseñado para optimizar la entrada de aire y mejorar la eficiencia del motor. Fabricado con materiales de alta calidad que garantizan una filtración efectiva y una mayor durabilidad. Ideal para mantener tu moto en óptimas condiciones, asegurando un funcionamiento más limpio y potente en cada trayecto. Perfecto para quienes buscan un mantenimiento confiable y un mejor desempeño en la carretera.;../Resources/Filtro aire 1.png;../Resources/Filtro aire 2.png;../Resources/Filtro aire 3.png;../Resources/Filtro aire 1.png;;;;
10;Espejos Aleron Naked Universal;Naked;60.000;Espejos alerón naked universales, diseñados para mejorar la estética y funcionalidad de tu motocicleta. Fabricados con materiales resistentes y livianos, ofrecen una instalación sencilla y un ajuste versátil que se adapta a la mayoría de los modelos naked. Ideales para quienes buscan un diseño moderno, mayor visibilidad y seguridad en cada viaje. Perfectos para darle un toque deportivo y personalizado a tu moto;../Resources/Espejos Aleron 1.png;../Resources/Espejos Aleron 2.png;../Resources/Espejos Aleron 3.png;../Resources/Espejos Aleron 1.png;;;;
11;Casco Edge Integral Shanghai Quartz Dot Y Ece 2206;Shanghai;337.000;Casco integral Edge Shanghai Quartz certificado DOT y ECE 2206, diseñado para ofrecer máxima seguridad y comodidad en cada recorrido. Fabricado con materiales resistentes y livianos, cuenta con un sistema de ventilación eficiente y cierre seguro que garantiza protección total sin sacrificar confort. Ideal para quienes buscan un casco confiable, moderno y certificado para conducir con tranquilidad y estilo.;../Resources/CascoIntegral.png;../Resources/CascoIntegral2.png;../Resources/CascoIntegral3.png;../Resources/CascoIntegral.png;;;;
12;Cremallera Direccion;Toyota;390.000;Cremallera de dirección de alta calidad, ideal para mantener un control seguro y una respuesta ágil en tu vehículo. Este componente esencial convierte el giro del volante en un movimiento preciso que dirige tus ruedas delanteras con eficacia.;../Resources/Direccion Asistida 1.png;../Resources/Direccion Asistida 2.png;../Resources/Direccion Asistida 3.png;../Resources/Direccion Asistida 1.png;;;;
13;Set 2 Llantas Carro Automovil;Audi;320.000;Set de 2 llantas de alto rendimiento, ideales para mejorar la seguridad y el confort de tu vehículo. Fabricadas con compuestos de caucho de calidad y diseño de banda de rodadura optimizado, ofrecen excelente tracción y durabilidad en diversas condiciones de manejo. Perfectas para conductores que buscan un equilibrio entre eficiencia, estabilidad y economía en cada trayecto.;../Resources/Set 2 Llantas.png;../Resources/Set 2 Llantas.png;../Resources/Set 2 Llantas.png;../Resources/Set 2 Llantas.png;;;;
14;Pastillas De Freno Delantera Aveo;Aveo;85.000;Pastillas de freno delanteras de alta calidad, diseñadas para ofrecer máxima seguridad y eficiencia en tu Chevrolet Aveo. Fabricadas con materiales resistentes al desgaste y altas temperaturas, garantizan una frenada precisa y confiable en todo tipo de condiciones. Ideales para quienes buscan durabilidad, bajo nivel de ruido y un excelente desempeño en el sistema de frenos. Perfectas para mantener tu vehículo seguro y con el rendimiento óptimo en cada trayecto.;../Resources/Pastillas freno.png;../Resources/Pastillas freno2.png;../Resources/Pastillas freno3.png;../Resources/Pastillas freno4.png;;;;
15;Amortiguadores de Capot;Toyota;105.000;Amortiguadores de capó de alta calidad, ideales para facilitar la apertura y mantener el capó de tu vehículo en posición segura. Fabricados con materiales resistentes y duraderos, estos amortiguadores ofrecen un soporte confiable y suave, evitando cierres inesperados y mejorando la seguridad durante el mantenimiento del motor. Perfectos para quienes buscan funcionalidad y confianza en cada uso.;../Resources/Amortiguacion Capo.png;../Resources/Amortiguacion Capo.png;../Resources/Amortiguacion Capo.png;../Resources/Amortiguacion Capo.png;;;;
16;Bateria Automotriz Bosch S4;Bosch;420.000;Batería de alta duración y rendimiento, diseñada para proporcionar un arranque rápido y confiable en todo tipo de condiciones. Su tecnología avanzada garantiza mayor resistencia a las vibraciones y ciclos de carga, asegurando energía constante para todos los sistemas eléctricos de tu vehículo. Ideal para quienes buscan durabilidad y potencia en cada encendido.;../Resources/BateriaCarro.png;../Resources/BateriaCarro2.png;../Resources/BateriaCarro3.png;../Resources/BateriaCarro.png;;;;
17;Filtro De Aceite Fram Ultra Synthetic Xg9688;Fram;45.000;Filtro de aceite premium que protege el motor de tu vehículo al retener partículas y contaminantes. Fabricado con materiales de alta calidad para garantizar un flujo óptimo y filtración eficiente, contribuyendo a prolongar la vida útil del motor. Perfecto para mantener un rendimiento óptimo y evitar desgastes prematuros.;../Resources/FiltroAceiteFram.png;../Resources/FiltroAceiteFram2.png;../Resources/FiltroAceiteFram3.png;../Resources/FiltroAceiteFram4.png;;;;
18;Amortiguadores Monroe Gas-Magnum;Monroe;350.000;Amortiguadores de alta performance que ofrecen estabilidad y confort en la conducción, absorbiendo impactos y vibraciones para proteger la suspensión de tu vehículo. Su tecnología de gas garantiza una respuesta rápida y duradera, mejorando el control en curvas y terrenos irregulares. Perfectos para quienes buscan seguridad y comodidad en cada viaje.;../Resources/AmortiguadorCarro.png;../Resources/AmortiguadorCarro.png;../Resources/AmortiguadorCarro.png;../Resources/AmortiguadorCarro.png;;;;
19;Pastillas De Freno Traseras Toyota Land Cruiser Prado Tx;Bosch;110.000;Pastillas de Freno traseras Toyota Prado Tx, sirve para versiones como prado 3.4, Runner, Fortuner 2016/, Fj Cruiser. Este juego de pastillas son 100% originales.;../Resources/PastillasFraseras.png;../Resources/PastillasFraseras2.png;../Resources/PastillasFraseras.png;../Resources/PastillasFraseras2.png;;;;
20;Bateria 12v 7.5 Ah 7,5ah O 7 Ah Fuli Battery;Fuli;345.000;La batería Fuli Battery 12V 7.5Ah es ideal para sistemas de respaldo (UPS), alarmas, cercas eléctricas, cámaras de seguridad, luces de emergencia y otros dispositivos que requieren una fuente de energía estable y duradera.;../Resources/BateriaMoto.png;../Resources/BateriaMoto2.png;../Resources/BateriaMoto.png;../Resources/BateriaMoto2.png
